BLOCK_TIMESTAMP_HOUR,BLOCK_NUMBER_MIN,BLOCK_NUMBER_MAX,BLOCK_COUNT,TRANSACTION_COUNT,TRANSACTION_COUNT_SUCCESS,TRANSACTION_COUNT_FAILED,UNIQUE_SIGNERS_COUNT,TOTAL_FEES_NATIVE,TOTAL_FEES_USD,EZ_CORE_METRICS_HOURLY_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
2020-10-15 04:00:00.000,41686784,41697583,9306,95301,82461,12840,31,477635000,"null",c7d1d5c6d288f99a59cd45b2df781f77,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 03:00:00.000,41676060,41686775,9486,86179,74809,11370,62,432490000,"null",cd64ecb42380d8e482cf50f119739fc0,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 02:00:00.000,41665379,41676055,9318,94680,82977,11703,23,474390000,"null",9e9b15cdb5dfc013aed0bbc2f9dd9ab4,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 12:00:00.000,41771912,41782478,9303,184730,159962,24768,37,925985000,"null",67d1c0ce07e0667d31b395d77981ad9f,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-15 00:00:00.000,41643892,41654630,9411,93033,81128,11905,17,466200000,"null",28b93771bd44fc9f005d121296c45b94,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-17 15:00:00.000,42309596,42320030,10075,134462,119995,14467,15,673950000,"null",29de46e4d11c50e33fc019ffcb641520,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-17 13:00:00.000,42288552,42299133,10256,92118,83346,8772,24,461850000,"null",852dd34f64f7ef8a297fba70c88b8b4a,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-17 02:00:00.000,42171919,42182468,10146,116756,103048,13708,9,585545000,"null",86a037e2a4a136da5fa9eb7417e9c292,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-17 05:00:00.000,42203657,42214308,10350,80486,72034,8452,12,403970000,"null",1cb93c551469414b6f73c426c8930f37,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
﻿
