BLOCK_TIMESTAMP,BLOCK_ID,TX_ID,INDEX,TX_FROM,TX_TO,AMOUNT,MINT,FACT_TRANSFERS_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
"null",36786412,3EQPWJ1TGiPkvhtDMnuNDDujnBR21wBqkHtaSMVyhPp4ZZYjoaxtj8vK6iAvWo3xxRmycg6Bw9B8fGeKzDUV2men,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000009908,So11111111111111111111111111111111111111112,3d5a7919cdbef0c2010e7bbc0fdf8ba5,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",37183260,4KSGnbJZpAGHTZ2oY14JTxMr7oaECi1KQnNvSGHgawyTiL3qTvSjJQbpq8gBSC5K9MzBUmY3yicNs7T7HyQ2pAky,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000002134,So11111111111111111111111111111111111111112,7dfef1eecd6483a05bc6f447658c58e8,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",35626580,5foSXEcT8czm83tXXXbH68VFobKcw3AHKo131J6XrvrTxpoV67WCyYUkSaTaDuq2s7mLgMdhGEKZymxCX2YVvTjz,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000001469,So11111111111111111111111111111111111111112,a87b1f649870200e9125e0259fd01dae,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",33616867,4S8zQUcwm64zMmg4KvveD3BK8ABzxFq5QHnX5ZRTwW2BXfnrLhdxj1yTzrutwcd5L4VUuA7jo34gRQwAwDr9MhhQ,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000009903,So11111111111111111111111111111111111111112,b16350418bfd5b415ad025d78893397e,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36958401,3eB3u8jjLKykFQAQAo8RLaQwuEyoWsENv5tWUkLoMGrVPKTNZBzecDUUyi7tgaQPpNEUt9doABhuwxqkLgdYYGsF,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000007857,So11111111111111111111111111111111111111112,971ae7ac90a3f1851b3a28f08eb1b122,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36816977,2PPFWFoYuz7CXSj892tnr2v3dH4Wg324k8VxP3s5uQE7m4ooQUEGbjAoMfz87RfY4TSUCTu11us3heDM2JuiNRa,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000001505,So11111111111111111111111111111111111111112,b05743a209d32cf8cde96e1f8124b5db,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",37172041,4hBpibTEn35wsjgZaEfGRQUSA2SnDH3fWQdfBGzB7ZoJ21Y97X7Z5xVrEUZLoGFZ3D7vakRnTjCXWS56DbHE8ypK,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000006947,So11111111111111111111111111111111111111112,59cf971dcccab91bcda1713e1bbcbd23,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36634287,5L9ZuP4dfTW7Mds7Emd8f4LRRsiZigUN24CXmdrvX7ki4Q2hG2b2pBynxYKQ3ZXQGeYHYnWgzqohZY8Y8SRwqk2V,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000003528,So11111111111111111111111111111111111111112,fe94d0851853dade70b763f9b57731b4,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36894700,WRUiG1mfAEcKQCdyvEpQf4gBocaD9Bq76Uavr2SQqRPeZsaGAwmKJQdmKfPCVwfMgaWju9LHRXBxgBYUv5KNgDh,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000002464,So11111111111111111111111111111111111111112,78c4e9b13cb505ce51124be308549d02,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36576424,4JT1GFjdXHFwMxPTRsqkNLLrjnRZwtCHVWKQx62M3X8Bu8hPufGEhcbUFmmR5TdZCEPmyz6zFDgnHKq9kH6dSNdX,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000008771,So11111111111111111111111111111111111111112,a59a434b032c3cc65f27671125bcc5eb,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",33330246,56PBLCiFwNjGHa8qYD4FjGzYqo58mavnoLDgnFTisDDpK6fgkbM568JHZbWZHXVxmBrJSrYgC2qjgYbGKwMJ2kSU,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000003439,So11111111111111111111111111111111111111112,87a8c2f58de018cdb02e1bdc921c09bf,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",33658696,2SyTVcUchxDgDv1K9mCzSLqkv5rVAMWMXTfL1AjtFWqRmC5wkkVt76BtDxSDUe2WSmWve2cKWZFnE86cmp6bDrhp,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000005039,So11111111111111111111111111111111111111112,9f84ca423a2d9caf158bcc64bce6bcb2,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36329964,2ybQWsMHepDpVc7FbZE7GqAhiSydVxcUgUhGMcfgmzow2PLy7CYtgkHBHA986EkaTHNQT1UxNXrkxM8X3eRrBfuF,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000008247,So11111111111111111111111111111111111111112,78181deb2048499ab1573b8f903d22b0,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
